userName,score,at,content,label
Rijakki Alakbar,5,2023-09-16 12:34:24,Aplikasinya sudah keren parah tapi sayangnya setiap ngetik atau buat cerita yang gk ngandung kata kata jorok atau yang lain malah kena sensor. Udah sih itu aja masalahnya soalnya geram banget saat sudah sampai jauh malah kena sensor walaupun tidak ada kata-kata nyeleneh.,Positive
Ardhani 2326,5,2023-09-23 17:50:42,"Aplikasi ini benar-benar mengubah cara saya bekerja. Kemampuannya untuk memahami dan merespons pertanyaan saya sangat mengesankan.""""Saya suka bagaimana AI ini membantu saya menyelesaikan tugas-tugas rumah tangga dengan cepat. Ini benar-benar asisten pintar yang selalu siap membantu."" ""Aplikasi AI ini telah meningkatkan produktivitas saya di tempat kerja. Fitur otomatisasi yang ditawarkannya sangat membantu.""""Sangat menarik melihat bagaimana AI ini belajar dari penggunaannya seiring waktu.",Positive
Cecep Abdul Malik,5,2023-09-14 06:07:00,"sama kayak yang di web. aplikasinya ringan. mantap lah kalo menurut saya. Saran agar pengguna lebih nyaman, saat ingin membuka chat terbawah harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu (lazy load).",Positive
Agustinus Hulu,4,2023-10-03 09:15:03,"Aplikasi nya sudah sangat bagus, cara penyampaian informasi nya sudah sangat etis dan baik juga mudah ditangkap. Namun saya kesulitan untuk mendapatkan informasi terbaru dari tahun tahun kedepannya. Aplikasi ini masih stop di tahun 2021 jadi untuk mencari informasi lebih akurat dan terkait menggenai tahun berikutnya menjadi kesusahan. Dan dimohonkan untuk developer nya lebih memperhatikan hal seperti ini.",Positive
Assalamualaikum Pak,4,2023-09-19 15:49:25,"Sebenarnya Aplikasi ini GG, cuman agak ribet aja kalau soalnya di foto harus jadiin kalimat dulu baru bisa di pakai, coba aja kalau ada kayak google lines yang bisa mendeteksi tulisan pada foto dan merubahnya secara langsung menjadi tulisan, di kembangkan lagi ya, 5 star kalau fitur ini ada",Positive
Aqil Mu'tashim,4,2023-09-26 19:27:43,"Ai yg bagus sejauh yg pernah saya pakai apa lagi kita bisa menanyaka banyak hal, bahka soal soal atau pr sangat menyenangkan. Cuma yang kurang hanyalah saya berharap lebih banyaknya fitur. Sekian dari saya😁☝",Positive
Indra Naufal Mushthofa,5,2023-09-25 18:36:29,"ChatGPT sangat membantu untuk membantu saya dalam membuat essay, resume, ringkasan, laporan dan pekerjaan yang sekiranya membutuhkan pemikiran yang sangat lebih kritis, sehingga dengan adanya aplikasi ini saya bisa mempersingkat waktu saya dalam mengkoordinir pekerjaan yang banyak dalam waktu yang lumayan singkat. Terima kasih ChatGPT sudah membantu banyak saya dalam menghadapi tugas-tugas yang menumpuk.",Positive
Muzza Imutt,1,2023-09-20 18:52:21,"Sekarang ga bisa di pake aplikasinya hadehhh, tulisannya error ga ada internet atw koneksi gtu padahal jaringan bagus, udah di update juga aplikasi nya, bukan sekali juga sih kejadian ny",Negative
Della Yunika Zebua,5,2023-09-18 20:04:59,Saya sangat mengapresiasi aplikasi ChatGPT ini. Aplikasi yang sangat membantu dalam permasalahan sehari-hari dengan cepat. Saya berharap aplikasinya terus berkembang tanpa mengurangi keunggulan yang sudah ada.,Positive
Bang Ali,3,2023-09-29 20:01:02,Tanda scroll ke bawah menghalangi teks bacaan dan sering kali harus diklik untuk menghilangkannya. Ini tentu sangat mengganggu dan juga tidak efisien.,Neutral
Pradalfa,5,2023-09-20 13:24:32,"ChatGPT adalah aplikasi yang sangat berguna dalam memberikan informasi, menjawab pertanyaan, dan memberikan panduan yang tepat. Keberadaannya sangat membantu dalam memahami berbagai topik dan memberikan wawasan yang berharga. Terima kasih ChatGPT!",Positive
David Valencia,5,2023-09-22 07:35:31,"Aplikasi terbaik dhh, karena kita bisa nyari semua hal itu langsung di rangkum, bedanya sama google kalau apk ini lebih ke menjelaskan garis besar jawaban dari pertanyaan kalian",Positive
Aufa Hammadi,5,2023-09-18 15:35:08,Menurut saya aplikasinya bagus dan tidak ada limitnya seperti aplikasi lain walaupun tidak ada fitur gambar tapi sudah bagus ni aplikasi karena tampilannya sederhana dan simpel dan jawabannya jika tidak nyambung itu memang karena dia cuman mentok pengetahuannya di 2021 September jadi kalo kalian cari yang sekarang sekarang seperti skibidi toilet dia tidak akan tahu paling cuman tau lagunya yang di tiktok walaupun aplikasinya online tapi good job developer👍👍🙂🙂😉😉🤩🤩(pls bales Developer),Positive
Awan Harmawan,5,2023-07-31 08:48:29,"Respon yg cepat dan tersedia berbagai bahasa. Sangat rekomendasi bagi kalian yg selalu di PHP sama si doi. Tapi dgn ini pesan anda pasti dijawab. Dan tentu saja tidak perlu menunggu lama. Baik juga bagi anda yg kehabisan ide,tanya saja pasti anda akan menemukan ide baru.",Positive
Alfin Rizki,5,2023-07-29 15:27:53,"Aplikasi nya sangat bagus dan juga udah keluar kan aplikasi nya dari openai di google, itu keren banget. Tetapi masih banyak bug dan lain - lainnya. Mungkin nanti beberapa kedepannya akan ada update terbaru atau ada versi Beta nya",Positive
Imlih Amin,1,2023-10-05 18:16:59,"Parah aplikasinya ngestuck di awal setelah di update, jadinya gak bisa di pakai aplikasinya, padahal di situ ada simpanan pembahasan, udah di hapus cache-nya tapi tetep aja ngestuck.",Negative
Winter Rain,1,2023-08-07 16:54:24,"Setelah menggunakan sekian lama, nampaknya chat gpt masih jauh dari harapan pemakai. 1. Sering memberikan jawaban yang salah. 2. Jawaban mudah diarahkan/ dijebak oleh penanya, akibatnya menghasilkan jawaban yang konyol. 3. Untuk soal berbasis hitungan 9 dari 10 pertanyaan jawabannya SALAH. 4. Jika dilakukan generate maka pertanyaan matematika akan memiliki jawaban yang berbeda beda. Kesimpulan: CHATGPT BELUM SIAP DIPERGUNAKAN. LEBIH BAGUS BARD AI GOOGLE( WALAUPUN MASIH DALAM TAHAP EXPERIMENT) !",Negative
Zakaria Ahyar,5,2023-09-26 17:40:02,"Ini aplikasi bagus banget sih. Semua yang ingin saya tanyain bener² ada loh! Mending kalian harus download deh, kalo gak download rugi. Kenapa? Karena aplikasi ini ngebikin saya nambah ilmu pengetahuan & bisa banget buat bantu belajar. The best lah👍",Positive
Gibran Gondrong,5,2023-09-17 19:42:20,Aplikasi ini sangat bagus aplikasi pavorit saya kecerdasan buatan yang bukan biasa melainkan luar biasa saya seperti punya teman yang bisa di ajak bicara saat sendirian dan membicarakan sesuatu!!!!!,Positive
Dyaz Almu daffa,5,2023-09-11 18:13:54,aplikasi yang bagus aku dapat belajar lebih banyak dari chatGPT tapi terkadang ada beberapa kekurangan dalam berkomunikasi seperti salahnya respon saat di ajak berkomunikasi tapi sejauh ini aplikasi ini sangat bagus dan bekerja dengan sangat baik,Positive
31. Rizky abdul Al aliyyu,2,2023-09-11 09:33:02,"karena chatGPT itu ada jawabannya benar dan juga ad jawabannya yang salah,saya juga kadang bener tapi yang paling itu paling salah banyak seharusnya diperbaiki lagi karena ini sangat berpengaruh untuk menjawab"" pertanyaan yg lainnya,apa lagi menjawab pertanyaan lain klu salah bagaimana hehe😅☺",Negative
Reski Irawan,5,2023-09-23 18:17:58,"Terimakasih atas batuan nya, apk ini sangat membantu disaat saya kesusahan dan bagusnya lagi apk ini tidak premium, semoga yg developer sehat selalu",Positive
Realme C2,5,2023-09-15 09:07:50,"kalian juga harus coba deh apk ini, benar-benar sangat membantu banget dalam mengerjakan tugas-tugas sekolah, udah gratis pula, pokoknya the best banget deh 👍👍👍",Positive
hafiizh rizqi,5,2023-10-04 21:29:47,"Apk nya bagus, Al nya bisa diajak curhat, resep masakan, cara mengatasi masalah, dan semuanya hanya di chatgpt,, cobain!!",Positive
April,3,2023-09-02 03:22:10,"saya perlu respon yang lebih panjang untuk membuat esai dan fanfiction. jika sepuluh ribu kata terlalu panjang untuk dicapai dalam waktu dekat, saya harap setidaknya respon bisa diperpanjang menjadi setidak-tidaknya tiga ribu kata saja terlebih dahulu segera. mohon dikembangkan, ini layanan obrolan AI terbaik menurut saya. terimakasih telah menciptakan aplikasi ini untuk Android / Google Play Store di Indonesia. 😊🙏☺️",Neutral
Mohammad Habbelda Zulfie,5,2023-07-29 07:41:01,"Gue sebagai pengguna lama ChatGPT mengakui kalo ChatGPT disini jauh lebih ringan ketimbang websitenya, tapi fiturnya kurang lengkap seperti websitenya, kayak edit teks, jumlah generate ulang, sama jumlah fitur edit ulang, ya gpp lah, wong baru muncul juga, oh iya, yg ini juga belum ada fitur ChatGPT Plus",Positive
ᷫ,3,2023-08-04 13:16:22,"Sudah bagus, tapi masih ada bug yg mengganggu, ketika sedang mengetik lalu meng space akan menghilangkan sebagaian text, itu sangat menyulitkan pengguna seperti saya, semoga di perbaiki.",Neutral
Mizuhashi Akira,5,2023-08-31 18:51:36,"Jangan cuma fix bug aja dong. Update juga ilmu pengetahuan ChatGPT nya. Percuma dong kalo aku tanya ke GPT tentang tahun sekarang, tapi ilmu pengetahuan GPT hanya sebatas september 2021. Ketinggalan 2 tahun ilmu AI kamu. Banyak juga informasi yang salah seperti lirik lagu FireBird dari band Roselia dari anime bang dream. Itu bukan fire bird lirik yang dikasih. Itu 1 contoh saja. Sisa nya saya gak tau ada yang salah atau tidak. Setidaknya, update kepintaran AI nya wajib. Jangan bug fix mulu.",Positive
Calan Gavisia,4,2023-09-03 12:41:14,"""ChatGPT adalah teman virtual yang pintar untuk menemani aktivitas sehari-hari saya. Saya suka bagaimana ia membantu menjawab pertanyaan saya dengan cepat dan akurat. Meskipun terkadang ada beberapa kebingungan, secara keseluruhan, ChatGPT sangat membantu. Terima kasih!"" 🌟🌟🌟🌟 Jawabannya aja dari ChatGPT",Positive
It'z Kurumi,5,2023-08-02 17:31:25,"Ini nih yang ditunggu, aplikasi chatbot yang asli. Soalnya pas baca artikel ada aplikasi chatbot yang mengandung virus. Untuk aplikasinya responnya cepat, bisa bahasa indonesia, beberapa fiturnya mirip kayak di web. Pokoknya bagus!",Positive
Rifnael Pinatik,5,2023-09-05 09:42:31,"Sangat Membantu Kami Para Siswa dan Mahasiswa, semoga OpenAI lebih meningkatkan lagi Chat GPT agar bisa memahami Pertanyaan Berupa Foto dan lebih bagus lagi berupa video. Semoga OpenAI lebih berkembang❤️‍🩹",Positive
Bara SkyNight,5,2023-08-25 22:30:59,"Salut sama apk AI satu ini salah satu yang membikin aku suka dari apk ini adalah bisa membuat cerita yang sambung menyambung dan terus menerus tanpa henti mau sampai ratusan part maupun episode dan season dan ya cerita cerita ini bisa juga di sesuai dengan kemauan kita sendiri mau tokoh nya siapa namanya mau kek mana ciri fsik karakter kek mana bisa kita atur atur sendiri cerita nya sangat sesuai dengan imajinasi GOOD JOB ChatGPT, dulu hanya bisa dibayangkan sekarang bisa di baca secara lisan",Positive
Amazon Merah,5,2023-08-25 06:36:22,"Terima kasih untuk fitur gratis/free nya sangat membantu. Buat kalian yang gagal registrasi atau sign up coba kalian buat akun di web resmi nya baru login ke aplikasi ini. Plis nanti jangan hilang kan fitur gratis/free, ini sangat membantu good job OpenAI.",Positive
Eridz,5,2023-08-29 19:32:32,"ini cukup membantu saya untuk mengakses Chat GPT. Dulu saya pernah memakai dari pihak ketiga yang menggunakan API dari Chat GPT tetapi tidak lebih cepat daripada ini, karena disuruh bayar baru bisa cepet😄. Dam saya harap Chat GPT 3.5 gratis selamanya. Dan menurut saya kelebihan dari aplikasi ini hasil chatnya bisa dilihat maupun offline berbeda dengan yang berbasis web. Terimakasih",Positive
Malik Fajar,5,2023-08-22 00:33:36,"Saya harap sekarang dan seterusnya tidak ada batasan dalam hal bertanya kepada AI, saya tidak mau aplikasi ini seperti apliaksi AI yg lain dimana mereka membatasi pertanyaan yg diajukan setiap harinya dan hanya bisa menggunakan premium agar bisa bertanya tanpa batas",Positive
Yasa Botak man,5,2023-08-28 23:20:21,"Sesuai janji saya,saya akan memberikan bintang 5 pada apk ini y karena apk ini sangat membantu dan membuat rasa penasaran saya menjadi terpecahkan terimakasih dev telah memberikan apk yanh bagus ini dan juga gratis🗿 y saya suka gratis mungkin tinggal dikembangkan saja apk ini MOHON MAAF BILA ADA KESALAHAN KETIK TOLONG DIMAAFKAN,terimakasih y🙏🙏🙏😎",Positive
Kak Dyo,1,2023-08-10 04:10:27,"Saya masih tidak dapat melakukan login. Saya memiliki kecepatan internet yang saya yakin itu lebih dari cukup. Saya hanya memiliki satu perangkat, dan itu kompitabel. Saat melakukan login dengan google, saya memilih akun lalu menekannya, pemuatan login sangat lama , itu benar benar membuang waktu saya.",Negative
Nofa Saidana,5,2023-07-29 20:32:43,"Sangat bagus, jawabannya menggunakan kalimat yang lebih mudah dicerna dibandingkan dengan versi webnya. Semua fitur juga berjalan dengan baik.",Positive
Bambang,5,2023-07-28 20:39:52,"Bagus sekali, lebih nyaman diakses daripada yang versi website. Hanya saja aku harap informasi ChatGPT diperbarui lagi. Sehingga informasi yang bisa diakses tidak hanya terbatas sampai September 2021 saja.",Positive
Hudantup 25,5,2023-07-29 07:16:12,"Bagus banget, fast respon, dan dapat memberikan data akurat dan ringan. Untuk kedepannya mungkin tetap di pertahankan atau dikembangkan dengan catatan tetap fast respon dan ringan!!",Positive
Apriazri Haidhar Alzam,5,2023-08-03 21:01:25,"Menurut ku aplikasi nya bagus tetapi tolong pengetahuan AI nya ditambahkan, agar AI nya semakin pintar dan dapat menjawab pertanyaan dengan tepat.",Positive
Dhimas Thoriq Purwanto,1,2023-08-12 18:03:56,"ChatGPT versi app jelek amat, gak sebaik versi web. Jawaban di aplikasi cenderung pada kesimpulan dan jawaban singkat, gk sedetail dan seinformatif versi web.",Negative
Akmal NurHakim,5,2023-09-05 16:46:49,Bagus Sih Tapi Kadang kalo buat soal Di Buku sekolah kadang Guru nya make jawaban yang kurang Update. Tapi kalo Aplikasinya sih Bagus. Yaudah sih itu aja.,Positive
aujasena risang,5,2023-08-27 18:39:59,bagus bagus banget kalau bisa tolong progam ai nya agar bisa berbicara seperti sedang berbicara bersama teman melalui WhatsApp agar lebih nyaman lagi saat berbicar tentang suatu masalah,Positive
Nasrul Mustofa,5,2023-09-26 15:42:15,"Terima kasih. Sangat bermanfaat dan menghibur. Walaupun kadang-kadang tidak akurat, tapi sudah sangat membantu.👍 Semoga kedepannya bisa menampilkan gambar",Positive
Aristianto Hakim,5,2023-08-28 05:37:04,Keren seperti asisten pribadi. namun tetap perlu dikonfirmasi sumber bahan bacaannya untuk memastikan validitasnya. Untuk itu tetap kunjungi perpustakaan baik offline maupun online.,Positive
i.Hanz05,5,2023-08-29 21:55:28,"Aplikasi nya sangat bagus , 100% gratis tidak ada gangguan dan respon ai nya sangat cepat Sangat membatu saya dalam mengerjakan tugas sekolah 👍",Positive
Fery Printing,5,2023-09-12 21:52:51,sungguh sangat membantu jawabannya layan Tepat. sayangnya ndak bisa sekalian kasi gambar/foto ato video kasusnya secara umum Ok lah... mantep thks. Devp,Positive
shinji choube,4,2023-08-03 09:10:26,"Kalau ada script kode, bisa langsung salin tanpa memilih teks, tentu tanpa menghilangkan fitur tersebut",Positive
Rizzy Hack,5,2023-07-31 20:31:40,"Aplikasi sudah bagus , tapi mohon untuk menjwab soal secara akurat dan jangan ada yang salah. Jawaban boleh berbeda tapi untuk pengguna yang berbeda , yang penting jawabannya benar semua.",Positive
Aria Sakti Nugraha,4,2023-07-27 23:35:49,"Sangat membantu dibikin aplikasi seperti ini, jadi tidak perlu repot-repot untuk buka browser. Sayangnya di aplikasi ini, dalam memberi jawaban tidak disertai enter",Positive
Fatih Al Farisi,5,2023-09-30 19:25:52,Aplikasi ini sangat bagus. Bisa merespon pertanyaan dengan cepat. Tapi terkadang dia memiliki kendala.,Positive
GriffinDaBest123,5,2023-09-12 18:42:14,"sangat membantu para pelajar, content creator, DLL untuk membantu kesusahan setiap orang emang terbaik ini AI!",Positive
sekar sari,1,2023-08-13 11:35:56,Saya sangat sangat kecewa dengan aplikasi ini!!! Saya mencoba untuk registrasi tetapi ada saja hal yang membuat ini lebih sulit! Padahal saya menggunakan aplikasi ini untuk mempermudah hidup tetapi malah mempersulit hidup. Registrasinya sangat merepotkan!,Negative
Ibnu mirza Wijaya IX-4,5,2023-07-28 17:11:49,"Aplikasi yang sangat bagus, bisa dengan mudah menjawab pertanyaan, dulu kalau mau buka chatgpt harus dari Google sekarang sudah ada aplikasi, semoga kedepannya semakin bagus dan berkembang 😁😄",Positive
Agus Arbani,5,2023-09-14 12:56:07,"Sempat server down tapi untung lumayan cepat diatasi, Semangat Bagi para pengembang ini!",Positive
Yuuki Alice,1,2023-08-08 08:20:19,"G bisa login muncul "" A compatible browser for login was not found . Please install Google Chrome or another supported browser ...... "" Padahal aku udah ada Google Chrome versi terbaru dan Opera tapi masih tidak bisa.",Negative
Dayan Rifqy Nujaba,5,2023-08-28 20:47:46,"Sangat informatif untuk mengetahui berbagai hal secara general, bisa bgt buat minta saran dan berbagai penulusuran sederhana",Positive
Steven Sahida,5,2023-09-12 11:05:15,"AI ini sangat bagus,namun terkadang ada beberapa topik yg tidak dipahami karena ditutupnya informasi dari pihak AI",Positive
Andry Yulia Afandi,5,2023-07-29 15:18:06,"Mantap, sangat bermanfaat & membantu mencari informasi.. Kita tinggal tanya apa...langsung di jawab dalam beberapa detik tanpa loading",Positive
Awe 199,5,2023-09-18 20:50:53,Aplikasi ini sangat senang cari apa pun walaupun suruh buat data arduino Uno pun bisa,Positive
Davis Nathaniel Meliciano,3,2023-10-04 13:49:42,Terkadang ChatGPTnya lama respond dan jg tdk bisa mengirimkan jawaban.,Neutral
Arul FM,5,2023-09-13 20:08:32,Kok saat malam sering loading terus yah? Padahal jaringan nya kerja bagus,Positive
Alvaro Christian Widhiatama,5,2023-09-18 20:04:23,bagus bgt chatgpt AI nya pinter bgt ga ada tambahan sihh buat yang mau aplikasi buat matematika sama kayak google lens ada di aplikasi checkmath guys cek aja dia udh kolaborasi sama chatgpt lhoo.,Positive
Zidan IbnuSadin,5,2023-09-19 18:39:06,"Apk nya bagus,gratis,penjelasannya detail pokok bagus buat tugas jadi lebih terbantu",Positive
Yusuf Pinto,5,2023-10-01 08:01:33,"dapat membuat puisi, cerita, dan lain lain, sangat bagus yang ingin mencoba ai pertama kali,",Positive
kart toay,5,2023-10-03 00:36:05,sangat bagus. hanya saja tolong update info realtime secara gratis please,Positive
Zain Al Fahim,5,2023-09-27 20:31:41,Sangat membantu saya dan mudah dipahami penjelasan nya serta jujur dan menerima koreksi,Positive
Ilham Gaming,2,2023-09-30 17:48:56,Apknya udah bagus Tapi tolonglah di update lagi biar kemampuan AI-nya nggk sampai september 2021,Negative
Zulkifli F. Bauang (Iphy),5,2023-09-27 22:25:27,"aplikasi yang sangat membantu dan baik sekali dalam penyajian jawaban pertanyaan,,👍👍💪💪",Positive
7E-1 Abigail Joy naftali,5,2023-09-23 18:18:16,ChatGPT sangat membantu saya dalam mengerjakan tugas dan membuat ringkasan materi sekolah.,Positive
Bagus Tok,5,2023-09-27 20:48:45,Sangat mengagumkan.. penjelasan yang aku cari dijelaskan sangat detail.. Kalian harus coba,Positive
Marvell Pattimukay,1,2023-09-26 14:58:11,Tolong update ke versi yang baruh karena sistemnya hanya pada tahun 2021 yang saya mau 2023 tolong di tanggapi,Negative
jos Wadi,5,2023-10-04 19:19:26,"aplikasi ini berguna banget sih,mempermudah para pelajar dan mahasiswa",Positive
XI.8_ Varrel Wira Yudha,4,2023-08-24 21:06:31,Kapan pengetahuan AI nya diperbaharui? Karena AInya bilang jika pengetahuannya terakhir diperbaharui pada 21 September 2021 . Saya harap developer bisa memperbaharui pengetahuan Sang AI ya. Jika sudah diperbaharui saya akan tambah 1 bintang menjadi 5 bintang woke?,Positive
Kriestian Aribowo,5,2023-07-28 13:24:33,"Semakin halus dan cepat, keakuratan juga bagus tidak dibatasi.. kembagkan terus agar semakin pintar",Positive
Ketut Buda Yasa,5,2023-07-28 00:08:15,Aplikasi keren....dapat dengan cepat mendapatkan jawaban tanpa harus mencari informasi secara manual atau melalui pencarian online yang lebih panjang.,Positive
Saputra Adit (Ditt),5,2023-08-10 08:58:32,"Mayan lah tapi sayangnya gk ada lisensi buat lirik lagu kayak waiting for love dan see you again, tapi overall ini bagus dan sangat membantu",Positive
Triana Handayani,5,2023-10-04 20:04:31,Bang bisa gak diupdate ke tahun 2023 soalnya saya pingin aja gitu diupdate ke tahun 2023 biar gak ketinggalan dia (chat gptnya) biar ada informasi baru,Positive
Kiki Permana (QyorcaArt),1,2023-07-30 13:57:01,Bingung harus kasih bintang berapa masalahnya mau coba login gak bisa terus muncul keterangan disuruh set waktu dan tanggal padahal waktu dan tanggal udah sesuai untuk Indonesia,Negative
Mila Ayunda,5,2023-09-06 21:59:33,"thankyou so muchhh aku jdi bisa lebih mahamin materi yg guru guru cuma ulas secara singkat.aslii ini ngebantu bangett ,semoga ada fitur lain yang bisa bikin apk lebih upgrade🫶🫶",Positive
Agnardie Aldy Julian,1,2023-08-29 21:31:10,"gimana cara mengatasinya ya? ga bisa masuk dengan alasan koneksi jaringan buruk, padahal jaringan oke² aja buat yang lain",Negative
Mareanus Telaumbanua,5,2023-09-07 00:12:59,"Sangat bermanfaat, dan tidak ada pembayaran, , tidak seperti chat gpt yang lain ada bayaran nya setelah kita gunakan 3 kali ,",Positive
M`Akbar Hidayat,5,2023-09-10 22:03:51,"Bagussss bangeeeet.Saya sukaaaa👍👍👍👍👍.saya ada saran, bagaimana klo ditambahin fitur foto, supaya lebih mudah dalam pencarian😅...",Positive
Naya Nofidya,4,2023-07-29 17:37:28,"Bagus kok, sama kayak di webnya. Cuma mau ngasih saran dikit ke developernya, bisa gak sih pengetahuan AI nya ini gak mentok di tahun 2021? Update pengetahuannya AI nya ke tahun 2023.",Positive
Muhammad Aldi Nugraha,5,2023-07-29 19:51:02,"Sangat membantu untuk mencari segala macam informasi, dan penjelasan nya sangat mudah di pahami.",Positive
Adjie Adjie,5,2023-08-31 15:58:12,sangat membantu dan memuaskan tanpa kekurangan.Sudah lama munuggu aplikasi ini rilis di android dan setelah rilis sangat puas sekali.GOOD JOB,Positive
Satriyo Kalingga,5,2023-09-19 16:37:00,"OpenAI terbaik! ChatGPT langsung dari developer, bukan abal-abal kayak yang lain.",Positive
Novan Anggara,5,2023-09-28 15:17:06,"Jika aku bertanya seperti ini kepada orang lain, biasanya orang itu akan merasa risih dengan pertanyaanku yang berbobot dan banyak. Tapi berbeda jika aku bertanya di chatgpt, aku bisa bebas bertanya hal yang ingin kutanyai Walaupun chatgpt versi ini berbeda dengan chatgpt lain, tapi aku suka karena bisa bertanya. Walau chatgpt ini masih ada kekurangan, tapi jika digunakan dengan benar maka kau bisa mendapatkan informasi terkait dengan yang ditanyakan dengan baik",Positive
Adam Satria wibawa,5,2023-08-13 19:24:16,bagus banget cuma tidak bisa kasih jawaban dengan foto atau memberi soal atau apapun dengan foto semoga kedepannya bisa mengirim sesuatu dengan foto.,Positive
Luqman Meyan,5,2023-07-27 22:48:46,Aplikasi yang sangat membantu... Saya sangat suka dengan aplikasi ini yang bisa membantu segala macam soal yang sulit dipecahkan .... Ubdate terus Kakak,Positive
Ahmad Haris,5,2023-09-17 19:11:41,"Cuma Apk ini saja yang gratis tidak seperti apk lain yang harus berlangganan jika ingin menggunakannya,Jika bisa untuk apk ini di tambahkan lagi fiturnya",Positive
Ahmad Yani,5,2023-08-02 17:01:30,"Terimakasih,semoga bisa terus ditingkatkan lagi, seperti ditambah kan fitur auto teks to speech",Positive
Keyz,5,2023-08-09 05:05:29,"Sangat membantu, tapi tolong berbayar dan diberi limit perhari saja agar tidak banyak yang memakai dan menyalahgunakannya",Positive
Hidayati Ana,5,2023-09-12 00:16:09,"sangat luar biasa, setelah ditunggu sekian lama akhirnya aplikasi nya launching juga. terimakasih developer",Positive
Yulius Evan Karunia,5,2023-08-04 15:36:02,"Bagus tapi, tolong tambahkan fitur untuk menyimpan chat yg lama, untuk nantinya dipakai lagi seperti versi web",Positive
Supra Ex,1,2023-08-24 02:32:59,"Kenapa saya tidak bisa login di aplikasi ini, sudah berulang kali login dengan email, akkun google tetap tidak ada respon.. Apa solusinya?",Negative
